,title,directors,scraptwriter,type,country,language,date,flength,rate
0,,,,,,,,,6.0
1,#活着 #살아있다,赵一亨,赵一亨 马特·奈勒,动作惊悚灾难,韩国,韩语,2020-06-24(韩国),98分钟,5.6
2,0.5毫米 0.5ミリ,安藤桃子,安藤桃子,剧情,日本,日语,2014-11-08(日本),196分钟,8.3
3,007之俄罗斯之恋 From Russia with Love,特伦斯·杨,理查德·麦鲍姆 约翰娜·哈伍德 伊恩·弗莱明,动作爱情惊悚冒险,英国,英语俄语土耳其语罗马尼亚语,1963-10-10,115分钟,7.2
4,007之择日而亡 Die Another Day,李·塔玛霍瑞,尼尔·珀维斯 罗伯特·韦德 伊恩·弗莱明,动作惊悚冒险,英国美国,英语粤语西班牙语德语冰岛语意大利语韩语,2002-11-22,133 分钟,7.2
5,007之明日帝国 Tomorrow Never Dies,罗杰·斯波蒂斯伍德,布鲁斯·费尔斯坦 伊恩·弗莱明,动作惊悚冒险,英国美国,英语德语丹麦语汉语普通话粤语,1997-12-09(伦敦首映)1997-12-12(英国)1997-12-19(美国),119 分钟,7.3
6,007之诺博士 Dr. No,特伦斯·杨,理查德·麦鲍姆 Johanna Harwood 伯克利·马瑟 特伦斯·杨 伊恩·弗莱明,动作惊悚冒险,英国,英语法语,1962-10-05,110 分钟,7.0
7,007之金刚钻 Diamonds Are Forever,盖伊·汉弥尔顿,理查德·麦鲍姆 汤姆·曼凯维奇 伊恩·弗莱明,动作科幻惊悚冒险,英国,英语德语,1971-12-14,120 分钟,6.8
8,007之雷霆杀机 A View to a Kill,约翰·格兰,理查德·麦鲍姆 迈克尔·G·威尔森 伊恩·弗莱明,动作犯罪冒险,英国美国,英语,1985-05-24,131 分钟,6.9
9,007之黎明生机 The Living Daylights,约翰·格兰,理查德·麦鲍姆 迈克尔·G·威尔森 伊恩·弗莱明,动作惊悚冒险,英国美国,英语阿拉伯语法语德语俄语,1987-06-30,130 分钟,7.1
10,007之黑日危机 The World Is Not Enough,迈克尔·艾普特,尼尔·珀维斯 罗伯特·韦德,动作惊悚冒险,英国美国,英语俄语西班牙语,1999-11-19(美国)1999-11-26(英国),128 分钟,7.5
